link,result
/article/5710/galley/18025/download/,"Abbreviations∃ = existential, ∀ = universal, NP = noun phrase, QDet = quantificational determiner, UE = upward entailing, DE = downward entailing, CL = classifier, ASP = aspect, II = innocently includable, IE = innocently excludable, PL = plural, LF = logical form"
/article/5733/galley/18393/download/,"AbbreviationsGlosses follow the Leipzig Glossing Rules. Additional glosses: aor – aorist, prv – preverb, sf – stem formant, sm – stem/screeve marker, ver – version marker."
/article/5761/galley/18423/download/,"Abbreviationsdef = definite, cl = clitic, m = masculine, f = feminine, n = noun"
/article/5884/galley/18391/download/,AbbreviationsD&K – Dresher and KayeEM – Expectation MaximizationEDPL – Expectation Driven Parameter LearnerLRPS – Linear Reward-Penalty SchemeNPL – Naïve Parameter LearnerOT – Optimality Theory/TheoreticP&P – Principles and ParametersQI – Quantity-InsensitiveQS – Quantity-SensitiveUG – Universal Grammar
/article/5728/galley/20328/download/,AbbreviationsA-IAnimate-InanimateASVAgent Subject VerbCMCompetition ModelEOVExperiencer Object VerbESVExperiencer Subject VerbGLMMGeneralised Linear Mixed (Effect) ModelI-AInanimate-AnimateNPNoun PhraseNP1Noun Phrase 1NP2Noun Phrase 2TRAThematic Reversal Anomaly
/article/5877/galley/20762/download/,"AbbreviationsP.ACC = the accusative case marker/differential object marker et, a structural marker of definite direct objects, with characteristics similar to preposition-like differential object markers in other languages, PL = plural, SG = singular, FUT = future, FEM = feminine"
/article/5886/galley/14525/download/,Competing InterestsThe author has no competing interests to declare.
/article/5724/galley/14546/download/,Competing InterestsThe authors have no competing interests to declare.
/article/5706/galley/14500/download/,Competing InterestsThe authors have no competing interests to declare.
/article/5874/galley/18027/download/,"Abbreviations1/2/3 = first/second/third person, PL = plural, M (ASC) = masculine, F (EM) = feminine, CMPR = comparative, SPRL = superlative, PL = plural, REDUP = reduplication, DEF = definite, INDEF = indefinite, POSS = possessive, DEM = demonstrative, COP = copula, PRES = present, FUT = future, PST = past, COMP = complementizer, NOM = nominative, GEN = genitive, NEG = negative/not"
/article/5780/galley/14494/download/,"Abbreviations1 = first person, 2 = second person, 3 = third person, ACC = accusative, ADJM = adjective marker, APPL = applicative, CL = classifier, DEF = definite, COM = comitative, F = feminine, FUT = future, GEN = genitive, GER = gerundive, ITV = itive, LOC = locative, M = masculine, NEG = negative, NMZR = nominalizer, NOM = nominative, NPST = non-past, OBJ = object, PERF = perfective, PL = plural, POSS = possessive, PST = past, REFL = reflexive, SG = singular"
/article/5735/galley/18382/download/,"Funding informationThis work was supported by the NYU Abu Dhabi Institute Grant G1001 to AM. PG was also supported in part by NSF BCS-1749407 (Ellen Lau, PI) and NSF NRT training grant DGE-1449815 at the University of Maryland, and by NIH T32 DC017703 (Eigsti & Myers, PIs) at the University of Connecticut."
/article/5873/galley/18384/download/,"AbbreviationsCP = complementizer phrase, CT = contrastive topic, SAP = speech act participant, SE = impersonal clitic se.Standard abbreviations have been taken from the Leipzig Glossing Rules."
/article/5708/galley/17506/download/,Competing InterestsThe author has no competing interests to declare.
/article/5778/galley/14835/download/,AbbreviationsCA = constructed action; PISL = Providence Island Sign Language; RE = Referring Expression
/article/5881/galley/14825/download/,"AbbreviationsNEG = negation, EZ = Ezafe, SG = singular, PL = plural, NOM = nominative, ACC = accusative, DUR = durative, POSS = possessive, PAST = past, PART = participle"
/article/5880/galley/14837/download/,"Abbreviationsabsl = Al-Sayyid Bedouin Sign Language, asl = American Sign Language, bisindo = Indonesian Sign Language, bsl = British Sign Language, kk = Kata Kolok, ksl = Kenyan Sign Language, ngt = Sign Language of the Netherlands, tİd = Turkish Sign Language."
/article/5870/galley/14821/download/,Competing interestsThe author has no competing interests to declare.
/article/5852/galley/14819/download/,"List of glosses and abbreviationsABSTR – deadjectival nominalization and abstract noun suffixADJ – adjectivizer suffix -sɯ̏ART – definite article ɓāAux – auxiliaryCMM – common case suffix -ɗɛ̏DO – direct objectDUR – durative verbal suffix -sīʌ̄EXCL – 1st person exclusive plural pronoun/predicative markerEXI – existential series of bifunctional auxiliariesFOC – a) focalization particle ɗʌ̰̀ ~ ɗɯ̰̄; b) grammatical high tone on certain focalized nounsGER – gerundive suffix -sɯ̏IMP – imperative series of predicative markersINCL – inclusive 1st person pronoun or predicative markerINF – infinitiveIPFV – imperfectiveJNT – conjoint series of bifunctional auxiliaries; tonal modification on the verbal stem in the conjoint constructionLOC – locative caseMSD – masdar (verbal noun) suffix, -ɗɛ̏NEG – negativeNEUT – 1) neutral aspect marker (extra-low tone on the verbal stem); 2) Baker & Gondo: suffix –sɯNMLZ – nominalizerNP – noun phraseNSBJ – non-subject pronominal seriesPST – pastPL – pluralPOSS – possessive marker ɓȁPRF – perfect series of predicative markersPROH – prohibitive series of predicative markersPRS – present (Baker & Gondo’s gloss)Q – general question particle ȅȅREL – relativization marker ɤ́S – subjectSG – singularSLA – selective marker -sɯ̏V – verbX – post-verbal arguments and adjuncts"
/article/5718/galley/14817/download/,"Abbreviations1 = 1st Person, SG = Singular, PL = Plural, PST = Past."
/article/5720/galley/14544/download/,"AbbreviationsACC = accusative, DAT = dative, EPP = Extended Projection Principle, D = determiner, F = feminine, Gen = Generic, M = Masculine, NOM = Nominative, PL = plural, PART = partitive, REFL = reflexive, SG = singular, 1/2/3 = first/second/third persons"
/article/5885/galley/14827/download/,"AbbreviationsABL = ablative case, ABS = absolutive case, ACC = accusative case, COM = comitative case, DAT = dative case, DEP = dependent case, ERG = ergative case, GEN = genitive case, INST = instrumental case, NOM = nominative case, NML = nominalizer, OBL = oblique case, P = person, PL1 = basic plural, PL2 = suppletive plural, SG = singular, POSS = possessive, UNM = unmarked case"
/article/5771/galley/14519/download/,"Funding InformationThe research reported on in this paper was funded by the Swiss National Science Foundation under grant 100015_188788 (“Clipping in a cross-linguistic perspective”, PI Martin Hilpert)."
/article/5711/galley/14542/download/,AbbreviationsCLclitic pronounEXPLExpletiveOBJObjectpropronominal null subjectSBJSubject
/article/5714/galley/14517/download/,Abbreviationsacc = accusative; asp = aspect; dat = dative; erg = ergative; expl = expletive; f = feminine; foc = focus; gen = genitive; hon = honorific marker; m = masculine; neg = negation; nom = nominative; om = object marker; past = past; pp = person plural; ps = person singular; q = question (marker); refl = reflexive; rel = relative; sg = singular.
/article/5765/galley/14492/download/,"Abbreviations1 = first person, 2 = second person, 3 = third person, ACS = attributive construct state, COP = copula, CS = construct state, DECL = declarative, GEN = genitive, HAB = habitual, INTENS = intensifier, M = masculine, NF = non-finite, NMZ = nominalized form, PL = plural, POSS = possessive, PREP = preposition, PRF = perfect, PRO = pronoun, REL = relativizer, SG = singular"
/article/5872/galley/14498/download/,Competing interestsThe authors have no competing interests to declare.
/article/5876/galley/14523/download/,Competing InterestsThe authors declare that they have no competing interests.
/article/5774/galley/14521/download/,AbbreviationsDEF = ‘definite’INF = ‘infinitive’PL = ‘plural’REL = ‘relative marker’
/article/5782/galley/14496/download/,"Competing interestsThis work was supported by the Eunice Kennedy Shriver National Institute of Child Health & Human Development of the NIH [R15HD072713], and by the National Institute of General Medical Sciences of the NIH [P20GM103436]. This research is solely the responsibility of the authors and does not necessarily represent the official views of the NIH or any other institution."
/article/5878/galley/14479/download/,AbbreviationsAbbreviations follow the Leipzig glossing rules unless otherwise noted.
/article/5871/galley/14481/download/,"Funding informationThis work was funded by the German Research Foundation (DFG), grant BA 4734/1-2."
/article/5883/galley/14538/download/,"Abbreviations3 = third person, ABL = ablative, ACC = accusative, NEG = negation, PART = participial, PL = plural, S = subject."
/article/5887/galley/14540/download/,"AbbreviationsACC = accusative, COP = copula, CL = classifier, DAT = dative, GEN = genitive, NL = nominalizer, NOM = nominative, PAST = past tense; PRES = present tense; Q = question morpheme, TOP = topic"
/article/5879/galley/14527/download/,Competing interestsThe author has no competing interests to declare.
/article/5471/galley/13044/download/,"Abbreviations1, 2, 3 = 1st, 2nd, 3rd person, ACC = accusative, DEF = definite article, F = feminine gender, GEN = genitive, INDF = indefinite article, M = masculine gender, N = neuter gender, NOM = nominative, PL = plural, POSS = possessive, PRS = present tense, PST = past tense, PTCP = participle, REFL = reflexive, SG = singular, WK = weak."
/article/5470/galley/13045/download/,Competing interestsThe author has no competing interests to declare.
/article/5469/galley/13046/download/,"AbbreviationsHA = High Attachment, LA = Low Attachment, ACC = Accusative, CP = Complementizer Phrase, DP = Determiner Phrase, DOM = Differential Object Marking, IMPF = Imperfective, NP = Noun Phrase, PP = Prepositional Phrase, PR = Pseudo-Relative, SC = Small Clause, RC = Relative Clause, VP = Verb Phrase"
/article/5468/galley/13047/download/,"AbbreviationsNOM = nominative, GEN = nominative, DAT = nominative, ACC = accusative, VOC = accusative, LOC = accusative, INS = accusative, PL = plural, SG = singular"
/article/5467/galley/13048/download/,AbbreviationsSome original abbreviations have been altered to follow the Leipzig Glossing Rules where these apply. Additional abbreviations used in glosses: DIR=directional particle; EMPH=emphatic; TAM=tense/aspect/modal particle; CIA=agentive verbal suffix.
/article/5464/galley/13049/download/,"Abbreviations3RD = third person, ACC = accusative, COMP = complementiser, CP = Complementiser Phrase, DAT = dative, DECL = declarative, DP = Determiner Phrase, FEM = feminine, FinP = Finiteness Phrase, FUT = future, IAP = Illocutionary Act Phrase, INF = infinitive, INT = interrogative, IntP = Interrogative Phrase, NOM = nominative, PRES = present, PRT = particle, PRV = preverb, PST = past, REFL = reflexive, SAP = Speech Act Phrase, SG = singular, TP = Tense Phrase"
/article/5466/galley/13050/download/,Abbreviations1SGfirst person singular2SGsecond person singular3SGthird person singular3PLthird person pluralIMPimperativeIMPFimperfectINFinfinitiveOCLobject cliticPARTpast participleSCLsubject clitic
/article/5465/galley/13051/download/,AbbreviationsDEF = definiteM = masculineN = neuterPL = pluralSG = singular
/article/5463/galley/13052/download/,Funding informationThis project has received funding from the European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No. 891493.
/article/5462/galley/13053/download/,"AbbreviationsACC = accusative, ATTR = attributive, CAUS = causative, COMP = comparative, COND = conditional, ESS = essive, GEN = genitive, INCH = inchoative, INF = infinitive, LOC = locative, NEG = negation, NOM = nominative, OBJ = object, PART = partitive, PASS = passive, PL = plural, PRES = present, PROG = progressive, PTC = participle, SENS = sensive, SG = singular, STAT = stative, SUBJ = subject."
/article/5461/galley/13054/download/,Competing interestsThe author has no competing interests to declare.
/article/5460/galley/13055/download/,"AbbreviationsM = masculine, F = feminine, N = neuter, SG = singular, PL = plural."
/article/5459/galley/13056/download/,Competing interestsThe authors have no competing interests to declare.
/article/5458/galley/13057/download/,Competing interestsThe author has no competing interests to declare.
/article/5457/galley/13058/download/,"Abbreviations3Ccoreferential/reflexive third personADV.FOCadverbial focus suffixAUXauxiliaryAUXGOauxiliary series related to the lexical verb
                            ‘go’AUXHABIThabitual auxiliaryDECLdeclarativeDEFdefiniteEVevidentialEXCLexclusiveFUTfutureHZTLhorizontalIMPRSimpersonalINCLinclusiveINSinstrumental-allative caseLOClocative caseNEGnegationNMZnominalizerNUCnuclear caseOBJ.FOCobject focus prefixOBLoblique casePSTpastPAUCpaucalPERFperfectivePLpluralPRIVprivativePROGprogressivePRONthe third person pronoun hèRSLTresultativeSGsingularTHtheme vowelVBZverbalizer"
/article/5456/galley/13059/download/,"Abbreviations1 = first person, 2 = second person, 3 = third person, A = agent-like argument of a canonical transitive verb, ABL = ablative, ABS = absolutive, ACC = accusative, AGR = agreement, ALL = allative, AUX = auxiliary, CL = clitic, DAT = dative, DF = dative flag, DM = Distributed Morphology, DOM = differential object marking, EP = epenthetic vowel, ERG = ergative, F = feminine, FUT = future, GEN = genitive, INS = instrumental, IPFV = imperfective, LOC = locative, M = masculine, N = neuter, NOM = nominative, P = patient-like argument of a canonical transitive verb, PFV = perfective, PL = plural, PST = past, S = single argument of a canonical intransitive verb, SG = singular, TM = tense–mood."
/article/5455/galley/13060/download/,Competing interestsThe author has no competing interests to declare.
/article/5454/galley/13061/download/,"AbbreviationsBP = Brazilian Portuguese, CG = composite group, DIM = diminutive, CI = credible interval, ESS = effective sample size, HDI = highest density interval, NCE = neoclassical element, PPh = phonological phrase, PWd = phonological word, R̂ = Gelman-Rubin statistic"
/article/5453/galley/13062/download/,"AbbreviationsACC = accusative, AUX = auxiliary, DAT = dative, DEF = definite, PST = past"
/article/5452/galley/13063/download/,"AbbreviationsACC = accusative, a.o = among others, AoE = Age of First Exposure; ASL = American Sign Language, bt = body turn, CL = classifier, DGS = German Sign Language (Deutsche Gebärdensprache), df = degrees of freedom, EEG = electroencephalogram, fMRI = functional magnetic resonance imaging, GEN = genitive, HKSL = Hong Kong Sign Language (香港手語), ICED = International Congress for the Education of the Deaf, JSL = Japanese Sign Language (日本手話, Nihon Shuwa), LAN = Left Anterior Negativity, Libras = Brazilian Sign Language (Língua de Sinais Brasileira), LIS = Italian Sign Language (Lingua dei Segni Italiana), LOC = locative, LSC = Catalan Sign Language (Llengua de Signes Catalana), LSF = French Sign Language (Langue des Signes Française), LSFB = French Belgian Sign Language (Langue des Signes Belge Francophone), NOM = nominative case, OPART = object partitive, ORC = object relative clause, PET = positron emission tomography, PL = plural, RC(s) = relative clause(s), re = raised eyebrows, rel = non-manual markers associated with relative clauses, rg = right gaze, SD = standard deviation, SG = singular, SL = sign language, SOV = subject object verb, SPART = subject partitive, SRC = subject relative clause, SVO = subject verb object, TİD = Turkish Sign Language (Türk İşaret Dili), TOP = topic, y.o. = years old."
/article/5451/galley/13064/download/,Competing interestsThe author has no competing interests to declare.
/article/5450/galley/13065/download/,AbbreviationsACC – accusativeCONV – converbDAT – dativeDIR – directionFUT – futureHORT – hortativeIMPERF – imperfectIMPV – imperativeINDEF – indefiniteINF – infinitiveINSTR – instrumentalNeg – negationNOM – nominativePAST – pastPERF – perfectPL – pluralPOL – politePRES – presentPT – particleQ – quastion
/article/5449/galley/13066/download/,"AbbreviationsACC = accusative case, DAT = dative case, fn. = footnote, IMP = imperative, intr = intransitive, NOM = nominative case, PAST = past tense, PP = postposition phrase, PRES = present tense, Q = question particle, TOP = topic marker, tr = transitive, TrAlt = transitivity alternation."
/article/5448/galley/13067/download/,Competing interestsThe author has no competing interests to declare.
/article/5447/galley/13068/download/,Competing interestsThe authors have no competing interests to declare.
/article/5446/galley/13069/download/,"AbbreviationsCOCA = Corpus of Contemporary American English, CQL = Corpus Query Language, ESLO = Enquête sociolinguistique à Orléans, INF = infinitive, NP = noun phrase, RSA = Rational Speech Act."
/article/5445/galley/13070/download/,"Abbreviations1 = first person, 3 = third person, ACC = accusative, DAT = dative, GEN = genitive, LOC = locative, NOM = nominative, PL = plural, PRS = present, PST = past, SG = singular, SUBJ = subjunctive"
/article/5444/galley/13071/download/,"AbbreviationsACT = active voice, AOR = aorist aspect, C = consonant, F = feminine gender, FUT = future tense, IND = indicative mood, INF = infinitive, IPFV = imperfective aspect, M = masculine gender, MP = middle–passive voice, NOM = nominative case, OPT = optative mood, PL = plural number, PRF = perfect aspect, PRS = present tense, PST = past tense, PSTPRF = past perfect, PTCP = participle, RED = reduplicative Vocabulary Item, SG = singular number, SUBJ = subjunctive mood, V = vowel"
/article/5443/galley/13072/download/,AbbreviationsACC–AccusativeCOM–ComitativeCV–Consonant VowelECP–Empty Category PrincipleFN–FootnoteGEN–GenitiveGP–Government PhonologyINT–InterrogativeKJ–Kagoshima (City) JapaneseLOC–LocativeNOM–NominativeNC–Nasal-Consonant (cluster)OJ–Ōsaka JapaneseON–Onset – NucleusTJ–Tōkyō JapaneseUR–Underlying representationVP–Verb phraseWM–Word-medialWF–Word-final
/article/5442/galley/13073/download/,Competing interestsThe author has no competing interests to declare.
/article/5441/galley/13074/download/,Competing interestsThe author has no competing interests to declare.
/article/5440/galley/13075/download/,"AbbreviationsALIEN = alienable, COP = copula, FUT = future, H = high tone, L = low tone, M = masculine, NEG = negation, NMLZ = nominalizer, PURP = purposive, SG = singular."
/article/5439/galley/13076/download/,"Abbreviations1 = first person, INF = infinitive, IND = indicative, NEG
                = negation, PL = plural, SG = singular, SBJV =
                subjunctive"
/article/5438/galley/13077/download/,AbbreviationsCWICopying-Weakening-ImplicationGSRGradient Symbolic RepresentationsHGHarmonic GrammarAFang-form (cf. Mattes (2007))AVactor voiceBEGbegun (cf. Mattes (2007))DEMdemonstrativeDISTdistalDISTRdistributiveGRADgraduativeIPFVimperfectiveITiterativePBpredicate basePLpluralPROXproximalREPrepetitiveSGsingularUGundergoer voice
/article/5437/galley/13078/download/,"Abbrebviations1 = first person, 2 = second person, 3 = third person, SG = singular, PL = plural, ACC = accusative, INF = infinitive, IND = indicative, SUBJ = subjunctive, NC = negative concord, NPI = negative polarity item, PPI = positive polarity item, FC = free choice."
/article/5436/galley/13079/download/,"Abbreviations1: first person, 3: third person, ACC: accusative, ANML: animal, CLF: classifier, COMP: complementizer, COP: copula, DAT: dative, DEF: definite, GEN: genitive, HUM: human, INDEF: indefinite, IRR: irrealis, IPFV: imperfective, LOC: locative, NEG: negation, NOM: nominative, PL: plural, POSS: possessive, PROG: progressive, PRT: particle, PST: past, RND: round, SG: singular"
/article/5434/galley/13080/download/,AbbreviationsANanimateCLASSnoun markerDEM.PROXproximal demonstrativeETextended themeEXCLexclusiveHONORIFIChonorific pronounHUMhumanINinanimateINCLinclusivePLpluralPOSSpossessivePROGprogressive aspectSGsingular
/article/5435/galley/13081/download/,"Abbreviations1SG = first person singular, 3SG = third person singular, ART = article, AUX = auxiliary, FUT = futur, INDF = indefinite, PL = plural, PST = past, PCPT = participle, SG = singular."
/article/5433/galley/13082/download/,"AbbreviationsDOM = differential object marking, PFV = perfective."
/article/5432/galley/13083/download/,"Abbreviations1 = first person, 3 = third person, ACC = accusative, ART = article, CAUS = causative, CIRCG = cirumgressive, CL = clitic, DAT = dative, EXPL = expletive, FUT = future, INF = infinitive, IPFV = imperfective, PFV = perfective, PL = plural, PRED = predicative, PROG = progressive, PTCP = participle, SG = singular"
/article/5431/galley/13084/download/,"AbbreviationsThe following glosses are used in this paper: DET = determiner; 3 = third person; SG = singular; ADD = additive; PRT = particle; NEG = negation; COMPL = complementizer; IMPF = imperfective, REFL = reflexive."
/article/5428/galley/13085/download/,Competing interestsThe authors have no competing interests to declare.
/article/5430/galley/13086/download/,"AbbreviationFUT = future, NEG = negation"
/article/5429/galley/13087/download/,"AbbreviationsABL ablative, ACC accusative, ALL allative, AUX auxiliary, C common gender, CAUS causative, CONN clause connective, DAT dative, FOC focus, FUT future, GEN genitive, IMP imperative, IMPF imperfective, INF infinitive, SUP supine, IRR irrealis, LOCP locative particle, MED middle voice, N neuter gender, NEG negative, NOM nominative, PL plural, PRTC participle, PRF perfective, PROHIB prohibitive, PRS present, PST past, QUOT quotative, REFL reflexive, SG singular."
/article/5427/galley/13088/download/,Funding informationThis work was supported by the German Research Foundation (DFG) as part of the Xprag.de Initiative (Grant Nr. BE 4348/4-1) as well as an Emmy Noether grant awarded to NG (Grant Nr. GO 3378/1-1).
/article/5426/galley/13089/download/,"AbbreviationsACC = accusative, DAT = dative, F = feminine, GEN = genitive, NOM = nominative, PL = plural, SG = singular."
/article/5425/galley/13090/download/,"List of abbreviations3 = third person, ACC= accusative, F = feminine, IMPF = imperfect, IND = indicative, M = masculine, NOM = nominative, PPT = past participle, PRES = present, REFL = reflexive, SG = singular."
/article/5424/galley/13091/download/,Ethics and consentThis study was carried out in accordance with the recommendations of the Comité de Protection des Personnes Sud Est II at the Université Hospital of Lyon (IRB number: 11263). Participation of participants in Italy was sanctioned by Comitato Etico del Dipartimento di Scienze Neurologiche e del Movimento dell’Università degli Studi di Verona. All participants or (if under-aged) their caretakers gave a written informed consent in accordance with the Declaration of Helsinki.
/article/5423/galley/13092/download/,Competing interestsThe authors have no competing interests to declare.
/article/5421/galley/13093/download/,"AbbreviationsACKNW = acknowledgement-seeking, AFF = affirmative, BCKGR = backgrounding particle, CNTR = contrastive, DIST = distal demonstrative, DISTR = distributive, HORZ = horizontally, IDENT = identification marker, IDEO = ideophone, INV = inverse, NF = non-final, NFUT = non-future, POL = politeness marker, 1PROX = 1-person proximate (close to speaker), RDP = reduplication, SEQ = sequentialiser."
/article/5422/galley/13094/download/,"AbbreviationsAbbreviations in glosses are as follows: 1/2/3 = first/second/third person,
                    ACC = accusative, COMIT = comitative, CONJ1 = the
                coordinator boloor, CONJ2 = the coordinator
                    beitleen, DAT = dative, EXCL = exclusive,
                    GEN = genitive, INST = instrumental, INESS =
                inessive, NOM = nominative, PL = plural, POSS =
                possessive, PST = past tense, Q = question particle, SG =
                singular. Dagur does not have its own writing system. Historically, many Dagur
                documents have been transcribed using the Manchu or Mongolian script. Currently, the
                Dagur community often uses a Pinyin-based transcription system (Jiyin
                    Fuhao) for everyday literary use. In this paper, examples are
                transcribed based on such practical orthography with revisions. Symbols have their
                usual IPA values, except that: č = [t∫]; š = [∫]; e = [ǝ]
                or [e]; ǰ = [ʤ]; ng = [ŋ]; two consecutive identical vowels = long
                vowel, e.g., ii = [i:]; Cj = palatalized consonant;
                        Cw = labialized consonant."
/article/5420/galley/13095/download/,"AbbreviationsI use the Leipzig glossing rules with the following additions:ks = Kyungsang, loan = loanword, mono = monosyllabic, obs = obstruent, poly = polysyllabic, SE = Sentence Ender, sel = Seoul, sino = Sino-Korean, SKD = Standard Korean dictionary, son = sonorant except /ŋ/"
/article/5418/galley/13096/download/,"Abbreviationsø = phonetically null, 3PL = third person plural, COND = conditional, EF = edge feature, F = feature, FOC = focus particle, FUT = future, GEN = genitive, i = interpretable, NEG = negation, NFUT = nonfuture tense, OB = object, PAST = past tense, Q = interrogative, S2 = singular second person, REL = relative, SU = subject, SUBJ = head of SUBJP, Top = topic, TRANS = transitivity marker, U = unvalued, VAL = valued."
/article/5419/galley/13097/download/,"Funding informationThis research was supported by the UGent BOF-doctoral scholarship, BOF.DOC.2015.0057.01 and the Civil Society Scholar Award, grant number IN2015-22556."
/article/5417/galley/13098/download/,AbbreviationsCL: classifier; DE: the particle de; EXP: experiential aspect (-guo); PFV: perfective aspect (-le); PROG: progressive aspect
/article/5416/galley/13099/download/,"Funding informationThe publication of this paper was funded by the Open Access Publication Fund of the University of Potsdam, supported by Deutsche Forschungsgemeinschaft (German Research Foundation) within the framework of the Open Access Publishing program. We would like to thank the DFG and the University of Potsdam for this support."
/article/5413/galley/13100/download/,Funding informationThis research was supported by a UC San Diego Social Sciences Divisional Research Grant to E.W.
/article/5415/galley/13101/download/,Competing InterestsThe author has no competing interests to declare.
/article/5414/galley/13102/download/,"Abbreviations2 = second person, 3 = third person, A = subject of a transitive verb, ABS = absolutive, ACC = accusative, AF = agent focus, ASD = autisum spectrum disorder, AUX = auxiliary, C(P) = complementizer (phrase), DECL = declarative, DET = determiner, ERG = ergative, ERP = event related potential, FUT = future, GER = gerund, INTR = intransitive, IP = inflectional phrase, IPFV = imperfective, LAN = left anterior negativity, LOC = locative, N(P) = noun (phrase), NOM = nominative, NPAH = noun phrase accessibility hypothesis, O = (direct) object, OBL = oblique, ORC = object relative clause, PFV = perfective, PRS = present, PRTCP = participle, PST = past, RC = relative clause, REL = relativizer, S = subject, SG = singular, SLI = specific language impairment, SRC = subject relative clause, TOP = topic, TR = transitive, V(P) = verb (phrase), WS = Williams syndrome. Glossing may be modified from the original source to conform to the Leipzig Glossing rules. Roman numerals indicate noun class in Avar."
/article/5411/galley/13103/download/,"Abbreviations1 = 1st person, 3 = 3rd person, ADVHS = Advanced Heritage Speaker, AJT = Acceptability Judgement Task, APPL = Applicative, APPLP = Applicative Phrase, CL = Clitic, D = Determiner, DAT = Dative, DEF = Definite, DEFDET = Definite Determiner, DELE = Diploma de Español como Lengua Extranjera, DOM = Direct Object Marking, DP = Determiner Phrase, DO = Direct Object, EPT = Elicited Production Task, F = Feminine, HL = Heritage Language, HS = Heritage Speaker, INTHS = Intermediate Heritage Speaker, M = Masculine, NP = Noun Phrase, OR = Odds Ratio, PF = Phonetic Form, PL = Plural, POSS = Possessive, POSSDET = Possessive Determiner, PREP = Preposition, PSMT = Picture Sentence Matching Task, PST = Past, SDC = Spanish Dominant Control, SG = Singular, TP = Tense Phrase."
/article/5412/galley/13104/download/,"Funding informationThis research was funded by the German Research Council (grant DFG FR 3482/2-1, KR951/14-1, SA 925/17-1) within SPP 1727 (Xprag.de) and by the Dutch Science Organisation (Gravitation grant ‘Language in Interaction’, 024.001.006); both of which are gratefully acknowledged."
/article/5410/galley/13105/download/,"AbbreviationsBA = high v-like head preceding the object in the bǎ construction, CL = classifier, IMP = imperfective aspect, NEG = negation, PERF perfective aspect, PL = plural (e.g. 3PL = 3rd person plural), PROGR = progressive aspect, SG = singular, SUB = subordinator"
/article/5409/galley/13106/download/,"AbbreviationsASL = American Sign Language, CF = contrastive focus, CT = contrastive topic, DGS = German Sign Language, IF = information focus, IS = information structure, LSC = Catalan Sign Language, LSF = French Sign Language, NGT = Sign Language of the Netherlands, NMM = non-manual marker, NP = noun phrase, QUD = question under discussion, RSL = Russian Sign Language, SL = sign languageGlossing conventionsThe usual glossing conventions in the sign language literature are followed, according to which manual signs are represented by the capitalized word corresponding to the gloss of the sign (the most general translation into a spoken language word). The scope of nonmanual markings is represented with a line that spreads over the manual material with which it is co-articulated. The relevant abbreviations for the purposes of this paper are the following ones: dh (dominant hand); ndh (non-dominant hand); ix (pointing sign); IX# (pronominal index; the number corresponds to 1st, 2nd or 3rd person); rhq (rhetorical question); re (raised eyebrows); bl (body lean); hs (head shake); ht (head tilt); hn (head nod); hthr (head thrust); mth (mouthing); we (wide eyes); sp (space)."
